Operator,Resources,Time
GPU-AIPlaxCham,106,1326.756
GPU-AIPlaxCham,108,1413.956
GPU-AIPlaxCham,110,1311.6190000000001
GPU-AIPlaxCham,112,1276.292
GPU-AIPlaxCham,114,1272.227
GPU-AIPlaxCham,116,1271.364
GPU-AIPlaxCham,118,1272.8680000000002
GPU-AIPlaxCham,120,1264.74
GPU-AIPlaxCham,122,1359.555
GPU-AIPlaxCham,124,1254.084
GPU-AIPlaxCham,126,1351.6840000000002
GPU-AIPlaxCham,128,1352.549
GPU-AIPlaxCham,130,1369.477
GPU-AIPlaxCham,132,1243.4279999999999
GPU-AIPlaxCham,134,1238.404
GPU-AIPlaxCham,136,1235.9070000000002
GPU-AIPlaxCham,138,1231.7800000000002
GPU-AIPlaxCham,140,1232.772
GPU-AIPlaxCham,142,1229.1879999999999
GPU-FCAorticSTE,2,75.264
GPU-FCAorticSTE,4,41.248
GPU-FCAorticSTE,6,30.081
GPU-FCAorticSTE,8,24.737
GPU-FCAorticSTE,10,21.888
GPU-FCAorticSTE,12,17.888
GPU-FCAorticSTE,14,17.12
GPU-FCAorticSTE,16,16.8
GPU-FCAorticSTE,18,16.288
GPU-FCAorticSTE,20,14.527999999999999
GPU-FCAorticSTE,22,14.239999999999998
GPU-FCAorticSTE,24,13.76
GPU-FCAorticSTE,26,12.064
GPU-FCAorticSTE,28,11.968
GPU-FCAorticSTE,30,11.904
GPU-FCAorticSTE,32,11.776
GPU-FCAorticSTE,34,11.68
GPU-FCAorticSTE,36,11.296000000000001
GPU-FCAorticSTE,38,9.440000000000001
GPU-FCAorticSTE,40,9.536
GPU-FCAorticSTE,42,9.28
GPU-FCAorticSTE,44,9.408
GPU-FCAorticSTE,46,9.344
GPU-FCAorticSTE,48,9.248
GPU-FCAorticSTE,50,9.377
GPU-FCAorticSTE,52,9.28
GPU-FCAorticSTE,54,9.376000000000001
GPU-FCAorticSTE,56,9.185
GPU-FCAorticSTE,58,9.12
GPU-FCAorticSTE,60,9.408
GPU-FCAorticSTE,62,9.12
GPU-FCAorticSTE,64,9.056
GPU-FCAorticSTE,66,8.895999999999999
GPU-FCAorticSTE,68,8.992
GPU-FCAorticSTE,70,8.831999999999999
GPU-FCAorticSTE,72,8.543999999999999
GPU-FCAorticSTE,74,7.872000000000001
GPU-FCAorticSTE,76,8.193000000000001
GPU-FCAorticSTE,78,8.48
GPU-FCAorticSTE,80,7.84
GPU-FCAorticSTE,82,7.872000000000001
GPU-FCAorticSTE,84,7.617
GPU-FCAorticSTE,86,7.936
GPU-FCAorticSTE,88,7.680000000000001
GPU-FCAorticSTE,90,8.48
GPU-FCAorticSTE,92,7.584
GPU-FCAorticSTE,94,7.52
GPU-FCAorticSTE,96,8.224
GPU-FCAorticSTE,98,7.552
GPU-FCAorticSTE,100,7.617
GPU-FCAorticSTE,102,7.4879999999999995
GPU-FCAorticSTE,104,7.52
GPU-FCAorticSTE,106,7.552
GPU-FCAorticSTE,108,7.52
GPU-FCAorticSTE,110,7.52
GPU-FCAorticSTE,112,7.52
GPU-FCAorticSTE,114,7.4879999999999995
GPU-FCAorticSTE,116,7.6160000000000005
GPU-FCAorticSTE,118,7.552
GPU-FCAorticSTE,120,7.6160000000000005
GPU-FCAorticSTE,122,7.4559999999999995
GPU-FCAorticSTE,124,7.4559999999999995
GPU-FCAorticSTE,126,8.543999999999999
GPU-FCAorticSTE,128,8.256
GPU-FCAorticSTE,130,7.584
GPU-FCAorticSTE,132,7.552
GPU-FCAorticSTE,134,7.4559999999999995
GPU-FCAorticSTE,136,8.352
GPU-FCAorticSTE,138,7.552
GPU-FCAorticSTE,140,8.319999999999999
GPU-FCAorticSTE,142,7.52
GPU-FCBModePers,2,64.32000000000001
GPU-FCBModePers,4,35.969
GPU-FCBModePers,6,26.272
GPU-FCBModePers,8,22.432000000000002
GPU-FCBModePers,10,18.56
GPU-FCBModePers,12,17.919999999999998
GPU-FCBModePers,14,17.44
GPU-FCBModePers,16,15.008000000000001
GPU-FCBModePers,18,15.072000000000001
GPU-FCBModePers,20,12.416
GPU-FCBModePers,22,12.224
